Rainha Das Quedas - FM (89.1),Abelardo Luz / SC,Galvão / SC,São Domingos / SC,Ipuaçu / SC,Entre Rios / SC,Marema / SC,Xanxerê / SC,Bom Jesus / SC,Ouro Verde / SC,Passos Maia / SC,Vargeão / SC,Ponte Serrada / SC,Faxinal dos Guedes / SC,Xaxim / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araranguá - FM (95.5),Araranguá / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cidade Amiga - FM (98.3),Armazém / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conexão - FM (103.3),Balneário Camboriú / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menina - FM (100.5),Balneário Camboriú / SC,Angelina / SC,Barra Velha / SC,Bombinhas / SC,Brusque / SC,Camboriú / SC,Canelinha / SC,Gaspar / SC,Ilhota / SC,Itajaí / SC,Itapema / SC,Luiz Alves / SC,Navegantes / SC,Penha / SC,Balneário Piçarras / SC,Porto Belo / SC,Tijucas / SC,São João Batista / SC,Araquari / SC,Balneário Barra do Sul / SC,Garuva / SC,Guaramirim / SC,Jaraguá do Sul / SC,Joinville / SC,Massaranduba / SC,São Francisco do Sul / SC,São João do Itaperiú / SC,Schroeder / SC,Antônio Carlos / SC,Biguaçu / SC,Florianópolis / SC,Garopaba / SC,Palhoça / SC,Santo Amaro da Imperatriz / SC,São José / SC,Alfredo Wagner / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camboriú - FM (90.1),Balneário Camboriú / SC,Antônio Carlos / SC,Apiúna / SC,Araquari / SC,Ascurra / SC,Balneário Piçarras / SC,Benedito Novo / SC,Biguaçu / SC,Bombinhas / SC,Botuverá / SC,Brusque / SC,Barra Velha / SC,Blumenau / SC,Balneário Barra do Sul / SC,Camboriú / SC,Canelinha / SC,Florianópolis / SC,Garuva / SC,Governador Celso Ramos / SC,Guabiruba / SC,Gaspar / SC,Guaramirim / SC,Indaial / SC,Ilhota / SC,Itajaí / SC,Itapema / SC,Jaraguá do Sul / SC,Joinville / SC,Luiz Alves / SC,Navegantes / SC,Nova Trento / SC,Palhoça / SC,Penha / SC,Porto Belo / SC,Rio dos Cedros / SC,Rodeio / SC,São João Batista / SC,São Francisco do Sul / SC,São José / SC,São João do Itaperiú / SC,Santo Amaro da Imperatriz / SC,Tijucas / SC,Timbó / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divino Oleiro - FM (90.9),Balneário Camboriú / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transamérica - FM (99.7),Balneário Camboriú / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultura (Marazul) - FM (97.1),Balneário Piçarras / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marazul - FM (94.5),Barra Velha / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fronteira - FM (94.3),Barracão / PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaberá (Bandeirantes) - FM (98.7),Blumenau / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jovem Pan (Nereu Ramos) - FM (88.7),Blumenau / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106 - FM (106.3),Blumenau / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
