Radio,Veiculacoes,Impacto,Cidades_Alcancadas
Arca da Aliança - FM (93.5),4,604708,1
Udesc - FM (91.9),15,604708,1
Massa - FM (106.9),174,604708,1
89 - FM (89.5),1,604708,1
107.5 - FM (107.5),11,604708,1
Jovem Pan - FM (91.1),4,604708,1
Nativa - FM (103.1),1,604708,1
NDFM - FM (100.7),17,604708,1
Colon - FM (90.3),1,604708,1
CBN - FM (95.3),4,604708,1
CBN - FM (90.3),6,516524,1
Udesc - FM (100.1),34,516524,1
Novo Tempo (São José) - FM (96.9),1,516524,1
Divino Oleiro - AM (1110),3,516524,1
Jovem Pan News - FM (98.3),9,516524,1
Guarujá - AM (1420),70,516524,1
Mais Alegria - FM (95.1),1041,516524,1
Massa (São José) - FM (97.7),16,516524,1
Divino Oleiro - FM (105.5),14,516524,1
Rede Aleluia (São José) - FM (99.3),1,516524,1
Jovem Pan - FM (101.7),28,516524,1
Jovem Pan News - FM (103.3),52,516524,1
Jovem Pan - FM (94.1),4,454204,2
Jovem Pan (Nereu Ramos) - FM (88.7),77,366418,1
Arca da Aliança - FM (100.1),6,366418,1
União - FM (96.5),4,366418,1
Itaberá (Bandeirantes) - FM (98.7),356,366418,1
90 Lite Hits - FM (90.5),1,366418,1
Menina - FM (97.5),16,366418,1
Rede Clube - FM (89.1),38,366418,1
