Cidade,Populacao,Veiculacoes,Indice_Intensidade,Alcance_Ponderado
Itá,6091,1343,2204.8924642915777,8180213
Cunha Porã,11150,904,810.7623318385649,10079600
Tangará,8648,402,464.8473635522665,3476496
Dona Emma,4224,187,442.70833333333337,789888
Xaxim,29254,1277,436.52150133315104,37357358
Erval Velho,4423,160,361.74542165950714,707680
Treze Tílias,8138,283,347.75129024330306,2303054
Pinhalzinho,21103,685,324.5983983319907,14455555
Palma Sola,7321,233,318.26253244092334,1705793
Irani,10575,331,313.0023640661939,3500325
São Ludgero,13886,425,306.0636612415382,5901550
Sombrio,31084,659,212.00617681122122,20484356
Itapiranga,17139,325,189.62599918314956,5570175
Videira,54145,937,173.05383691938312,50733865
Taió,18576,320,172.26528854435833,5944320
Armazém,8843,147,166.23317878548005,1299921
Braço do Norte,34294,539,157.17035049862952,18484466
Nova Erechim,5163,76,147.20123958938603,392388
Palmitos,16144,235,145.56491575817643,3793840
Campos Novos,36861,528,143.2408236347359,19462608
Grão Pará,6621,84,126.86905301314002,556164
São Francisco do Sul,54751,680,124.19864477361145,37230680
Joaçaba,30684,381,124.168947985921,11690604
São João Batista,39719,468,117.82773987260506,18588492
Itaiópolis,21889,251,114.66946868290007,5494139
Catanduvas,11106,111,99.94597514856834,1232766
Maravilha,26463,260,98.25038733325776,6880380
Descanso,8136,79,97.09931170108162,642744
Garopaba,24070,232,96.3855421686747,5584240
Imaruí,9764,91,93.19950839819745,888524
Caçador,80017,673,84.10712723546246,53851441
Saudades,9874,78,78.99534130038485,770172
Lauro Müller,15380,115,74.77243172951886,1768700
Herval d'Oeste,22820,155,67.92287467134094,3537100
Dionísio Cerqueira,15592,104,66.70087224217548,1621568
Lontras,12497,77,61.61478754901176,962269
Presidente Getúlio,17973,108,60.090135202804206,1941084
São Carlos,11456,68,59.35754189944134,779008
Gaspar,71925,423,58.81126173096976,30424275
Concórdia,75683,442,58.40149042717652,33451886
Zortéa,3432,20,58.27505827505828,68640
Garuva,18816,105,55.80357142857143,1975680
Tunápolis,4507,25,55.46927002440648,112675
Ponte Serrada,11674,64,54.82268288504369,747136
Modelo,4227,23,54.41211260941566,97221
Criciúma,219393,1184,53.96708190325125,259761312
Passos Maia,4072,21,51.57170923379175,85512
São Bento do Sul,86317,406,47.03592571567594,35044702
São Joaquim,27322,125,45.75067711002123,3415250
São Domingos,9422,40,42.45383145828911,376880
Caibi,6112,25,40.903141361256544,152800
Tubarão,107143,423,39.47994736007019,45321489
Coronel Freitas,9900,39,39.3939393939394,386100
São Lourenço do Oeste,24501,93,37.957634382270115,2278593
Rio do Sul,72931,268,36.74706229175522,19545508
Porto União,35685,121,33.90780439960768,4317885
Urubici,11311,34,30.0592343736186,384574
São José do Cedro,13811,41,29.686481789877632,566251
Tijucas,39889,104,26.072350773396177,4148456
Turvo,13080,34,25.99388379204893,444720
Barra Velha,30539,79,25.868561511509874,2412581
Jaguaruna,20547,51,24.821141772521536,1047897
Florianópolis,516524,1275,24.684235388868668,658568100
Jaraguá do Sul,184579,441,23.892208756142356,81399339
Santa Cecília,17004,40,23.52387673488591,680160
Corupá,16300,38,23.31288343558282,619400
Quilombo,9773,22,22.510999693031824,215006
Araranguá,69493,153,22.016605989092426,10632429
Campo Alegre,11985,26,21.693783896537337,311610
Laguna,46424,99,21.325176632776152,4595976
Guaraciaba,9964,21,21.07587314331594,209244
Ituporanga,25619,47,18.345759006987002,1204093
Santa Terezinha,8760,16,18.264840182648403,140160
Curitibanos,40037,69,17.2340584958913,2762553
Balneário Piçarras,24385,41,16.81361492720935,999785
Blumenau,366418,602,16.42932388692695,220583636
Brusque,140597,230,16.35881277694403,32337310
Xanxerê,52290,79,15.108051252629565,4130910
Lindóia do Sul,4530,5,11.037527593818984,22650
Rio dos Cedros,11937,12,10.052777079668257,143244
Jacinto Machado,10337,10,9.673986649898424,103370
Faxinal dos Guedes,10630,9,8.466603951081844,95670
Abelardo Luz,18015,14,7.771301693033584,252210
Capinzal,23218,18,7.7526057369282455,417924
Chapecó,227587,174,7.645427902296705,39600138
Mafra,56825,42,7.391113066432028,2386650
Itajaí,226617,167,7.36926179412842,37845039
Major Vieira,8209,6,7.309051041539774,49254
Lages,157158,114,7.253846447524148,17916012
Campo Erê,8312,6,7.218479307025986,49872
Rio Negrinho,42684,30,7.028394714647175,1280520
Orleans,23161,16,6.908164587021286,370576
São Miguel do Oeste,41246,28,6.788537070261358,1154888
Irineópolis,11354,7,6.165228113440198,79478
Urussanga,21419,13,6.069377655352724,278447
Fraiburgo,36723,19,5.173869237262751,697737
Mondaí,12034,6,4.985873358816686,72204
Forquilhinha,27621,13,4.706563846348793,359073
Seara,17610,8,4.542873367404884,140880
Pomerode,34561,15,4.340152194670293,518415
Ibirama,19238,8,4.1584364279031085,153904
Timbó,45703,19,4.157276327593374,868357
Nova Trento,15010,6,3.997335109926716,90060
Joinville,604708,232,3.836562440053712,140292256
Iporã do Oeste,9093,3,3.299241174529858,27279
Porto Belo,22466,6,2.6707023947298136,134796
Canoinhas,54558,13,2.3827852927160085,709254
Balneário Camboriú,149227,34,2.2784080628840626,5073718
Papanduva,19521,4,2.049075354746171,78084
Indaial,72346,14,1.9351449976501809,1012844
Itapema,69323,10,1.4425226836692007,693230
Imbituba,45711,5,1.093828618931986,228555
União da Vitória,57768,6,1.038637307852098,346608
Três Barras,19455,1,0.5140066820868672,19455
Santo Antônio do Sudoeste,20748,1,0.48197416618469247,20748
Rio Negro,33172,1,0.30145906185939947,33172
