Conteudo,Populacao,Cidades,Emissoras
CHAMADA ALESC ITINERANTE CHAPECÓ 22112024,5053559,89,167
VETO_TETO_IPVA-130623,4584296,66,88
30_IPVA-060723,4452851,67,100
FP_DEFESA_SAUDE-210623,3994686,62,82
CRIAÇÃO INTEGRA 280224,3682553,54,68
PL_MARCIUS_MACHADO_CORREÇÃO_100823,3553023,53,71
CESTA BÁSICA 141223,3476511,46,65
PRES CAMPANHA ANTICORRUPÇÃO 020424,3376475,57,73
NADAL ASSUME GOVERNO 08072024,3046233,36,44
OD GOVERNO ORCAMENTO 2026,2807141,42,59
COM ANIMAIS ACESSO CÃES RUA 17072025,2726043,24,25
OD SERGIO MOTTA INCLUSÃO CONCURSOS 18072025_mixdown,2700810,29,32
INFORMATIVO LEI DESCONTO IPVA 211120205,2689367,29,39
COM JUSTIÇA PROTEÇÃO CONSUMIDOR 050324,2684998,26,27
PLE MATHEUS CADORIN PROCON BOTS B 27112025,2608550,22,25
INFORMATIVO LEI DESPESAS AGRESSÕES ANIMAIS 07072025,2604395,29,35
OD JUNIOR CARDOSO ATENDIMENTO PREFERENCIAL CANCER 12022026,2556534,23,24
COM ESPORTES VENDA CERVEJA ESTÁDIOS 25062024,2464991,40,48
AGRICULTURA_ALTAIR_28-02,2454626,45,51
INFORMATIVO REPASSE ALESC EXECUTIVO 30012025,2419613,24,29
NADAL BALANÇO ALESC 201223,2414546,29,38
NADAL_JORGINHO_ENCONTRO_VEREADORES_16-03,2395587,42,52
COM ANIMAIS CADASTRO PROTETORES 150524,2368306,33,39
PLE JAIR MIOTTO EROTIZAÇÃO INFANTIL 12082025,2349696,16,17
COM TURISMO ROTA TURÍSTCA RELIGIOSA 17072025,2307078,26,30
OD ALEX BRASIL COTAS UNIVERSIDADES 22012026,2301024,15,15
ple paulinha violenciamulher 18022026,2271865,19,26
OD PAULINHA COMBATE PEDOFICLIA 29102025,2268459,18,23
INFORMATIVO TIAGOZILLI LIMITES MUNICIPAIS 05122025,2245844,21,27
