Conteudo,Populacao,Cidades,Cobertura_%,Emissoras,Eficiencia_Pop
CHAMADA ALESC ITINERANTE CHAPECÓ 22112024,7285871,283,95.0,167,43627
VETO_TETO_IPVA-130623,7077355,248,83.2,88,80424
30_IPVA-060723,6966587,253,84.9,100,69665
FP_DEFESA_SAUDE-210623,6595648,241,80.9,82,80434
NADAL ASSUME GOVERNO 08072024,6377691,194,65.1,44,144947
CRIAÇÃO INTEGRA 280224,6352985,198,66.4,68,93426
PL_MARCIUS_MACHADO_CORREÇÃO_100823,6133993,184,61.7,71,86394
COM ESPORTES VENDA CERVEJA ESTÁDIOS 25062024,5888517,229,76.8,48,122677
OD GOVERNO ORCAMENTO 2026,5863097,218,73.2,59,99374
CESTA BÁSICA 141223,5653258,168,56.4,65,86973
INFORMATIVO TIAGOZILLI LIMITES MUNICIPAIS 05122025,5560387,134,45.0,27,205940
OD SERGIO MOTTA INCLUSÃO CONCURSOS 18072025_mixdown,5518375,148,49.7,32,172449
INFORMATIVO REPASSE ALESC EXECUTIVO 30012025,5416618,152,51.0,29,186779
OD NEPOLEAO BERNARDES DESCONTO IPVA 04022026,5286895,119,39.9,29,182306
NADAL BALANÇO ALESC 201223,5240176,186,62.4,38,137899
OD PAULINHA COMBATE PEDOFICLIA 29102025,5206674,128,43.0,23,226377
INFORMATIVO LEI DESCONTO IPVA 211120205,5205589,114,38.3,39,133476
COM SAUDE PRIMEIROS SOCORROS ESTUDANTES 221020205,5190520,152,51.0,15,346034
PLE PAULINHA PEC AJUDA MÚTUA MUNICÍPIOS 17072025,5147414,146,49.0,29,177497
COM ANIMAIS ACESSO CÃES RUA 17072025,5130628,145,48.7,25,205225
COM FINANÇAS DEPENDÊNCIA TECNOLÓGICA 14082025,5116958,92,30.9,20,255847
COM TURISMO ROTA TURÍSTCA RELIGIOSA 17072025,5050671,100,33.6,30,168355
COM FINANÇAS MERENDA ADAPTADA 12092025,5038340,128,43.0,15,335889
ple paulinha violenciamulher 18022026,4828812,97,32.6,26,185723
LOTAÇÃO HOSPITAIS 200224,4798348,101,33.9,13,369103
COM JUSTIÇA CLIMATIZAÇÃO SALAS DE AULA 08262025,4772258,134,45.0,19,251171
OD JARI MIOTTO REGISTRO BEBES 04112025,4712134,119,39.9,17,277184
PLE MARIO MOTTA MAUS TRATOS ANIMAIS 05022026,4681715,121,40.6,10,468171
OD JUNIOR CARDOSO ATENDIMENTO PREFERENCIAL CANCER 12022026,4658763,86,28.9,24,194115
OD ALTAIR SILVA RASPAS DE ESCAPE 16122025,4621441,128,43.0,13,355495
PLE JUNIOR CARDOSO CONTRATAÇÃO IDOSOS 30092025,4604344,129,43.3,23,200188
AUXILIO_ALUGUEL_03-03,4596209,124,41.6,18,255344
AP_MUDANÇA_HINO_140823,4583808,186,62.4,44,104177
PRAZO MÁXIMO CONSULTA MÉDICA 250124,4575508,117,39.3,25,183020
ALESC_COFEM_07-03,4573985,171,57.4,37,123621
PRES CAMPANHA ANTICORRUPÇÃO 020424,4522629,122,40.9,73,61953
OD MARCIUS MACHADO DESCANSO CAMINHONEIROS 140524,4508246,107,35.9,25,180329
COM CRIANÇA BRINCADEIRAS PERIGOSAS 01102025,4501016,85,28.5,15,300067
INFORMATIVO LEI BOLETIM MÉDICO DIÁRIO 05092025,4485209,82,27.5,33,135915
COM JUSTIÇA PROTEÇÃO CONSUMIDOR 050324,4441928,129,43.3,27,164515
OD ALEX BRASIL COTAS UNIVERSIDADES 22012026,4403391,71,23.8,15,293559
OD RODRIGO MINOTTO AULAS AUTODEFESA 02092025,4398740,123,41.3,28,157097
COM ANIMAIS CADASTRO PROTETORES 150524,4377169,110,36.9,39,112235
PLE SGTO LIMA CAMERAS SALA DE AULA B_08072025,4356605,93,31.2,16,272287
VETO_ESTATUTO_LIBERDADE_RELIGIOSA_18-01,4355740,127,42.6,24,181489
PLE NAPOLEÃO BERNARDES CAMERAS DE VIGILÂNCIA ESCOLAS 09072025,4341474,93,31.2,29,149706
FILHOS_MENORES_DE_14_290124,4324829,94,31.5,30,144160
OD MARCIUS MACHADO PASSA FAUNA 17112025,4305237,124,41.6,20,215261
COM JUSTICA ELETROPOSTOS PM 21102025,4300030,120,40.3,15,286668
FRENTE_BOMBEIROS_02-02,4283530,95,31.9,18,237973
OD ALTAIR SILVA LEITE EM PO 21012026,4272652,134,45.0,12,356054
OD FABIANO DA LUZ PRIMEIROS SOCORROS ESCOLAS 05112025,4269322,134,45.0,13,328409
INFORMATIVO LEI VEICULOS ELÉTRICOS PEQUENOS b 11082025,4233882,110,36.9,31,136576
OD SERGIO MOTTA ALCOOL GEL  07082024,4225963,63,21.1,16,264122
OD MARCIUS MACHADO PROIBICAO TRACAO ANIMAI 15122025,4211740,119,39.9,18,233985
AGRICULTURA_ALTAIR_28-02,4205022,178,59.7,51,82451
ESPECTRO_AUTISTA-280323,4170930,105,35.2,18,231718
MÍNIMO_REGIONAL_22-03,4152114,148,49.7,23,180526
COM SAÚDE PARTO CESÁREA 17092025,4141011,94,31.5,15,276067
NADAL_JORGINHO_ENCONTRO_VEREADORES_16-03,4114710,162,54.4,52,79129
PLE RODRIGO MINOTTO NOVO FERIADO ESTADUAL 19022026,4099387,51,17.1,21,195208
INFORMATIVO LEI DESPESAS AGRESSÕES ANIMAIS 07072025,4084900,106,35.6,35,116711
PLE JAIR MIOTTO EROTIZAÇÃO INFANTIL 12082025,4081706,68,22.8,17,240100
CÂMERAS_ESCOLAS-280323,4029001,140,47.0,20,201450
OD LUCAS NEVES PROGRAMA CLIMATIZACAO 26012026,4023638,91,30.5,17,236684
