Transicao,Ano_Referencia,Municipio,Status
2023→2024,2024,Mondaí,Perdido
2023→2024,2024,Nova Trento,Perdido
2023→2024,2024,Campo Alegre,Novo
2023→2024,2024,Grão Pará,Novo
2023→2024,2024,Imbituba,Novo
2023→2024,2024,Jaguaruna,Novo
2023→2024,2024,Lindóia do Sul,Novo
2023→2024,2024,Papanduva,Novo
2023→2024,2024,Rio dos Cedros,Novo
2023→2024,2024,Santa Terezinha,Novo
2023→2024,2024,Santo Antônio do Sudoeste,Novo
2023→2024,2024,Três Barras,Novo
2023→2024,2024,Zortéa,Novo
2024→2025,2025,Campo Alegre,Perdido
2024→2025,2025,Grão Pará,Perdido
2024→2025,2025,Iporã do Oeste,Perdido
2024→2025,2025,Laguna,Perdido
2024→2025,2025,Nova Erechim,Perdido
2024→2025,2025,Rio do Sul,Perdido
2024→2025,2025,Santa Terezinha,Perdido
2024→2025,2025,Santo Antônio do Sudoeste,Perdido
2024→2025,2025,São Domingos,Perdido
2024→2025,2025,Três Barras,Perdido
2024→2025,2025,União da Vitória,Perdido
2024→2025,2025,Zortéa,Perdido
2024→2025,2025,Catanduvas,Novo
2024→2025,2025,Mondaí,Novo
2024→2025,2025,Rio Negro,Novo
2025→2026,2026,Abelardo Luz,Perdido
2025→2026,2026,Araranguá,Perdido
2025→2026,2026,Balneário Piçarras,Perdido
2025→2026,2026,Barra Velha,Perdido
2025→2026,2026,Caibi,Perdido
2025→2026,2026,Campo Erê,Perdido
2025→2026,2026,Canoinhas,Perdido
2025→2026,2026,Capinzal,Perdido
2025→2026,2026,Coronel Freitas,Perdido
2025→2026,2026,Corupá,Perdido
2025→2026,2026,Descanso,Perdido
2025→2026,2026,Faxinal dos Guedes,Perdido
2025→2026,2026,Forquilhinha,Perdido
2025→2026,2026,Fraiburgo,Perdido
2025→2026,2026,Garuva,Perdido
2025→2026,2026,Guaraciaba,Perdido
2025→2026,2026,Herval d'Oeste,Perdido
2025→2026,2026,Ibirama,Perdido
2025→2026,2026,Imaruí,Perdido
2025→2026,2026,Indaial,Perdido
2025→2026,2026,Jacinto Machado,Perdido
2025→2026,2026,Lindóia do Sul,Perdido
2025→2026,2026,Lontras,Perdido
2025→2026,2026,Mafra,Perdido
2025→2026,2026,Mondaí,Perdido
2025→2026,2026,Orleans,Perdido
2025→2026,2026,Papanduva,Perdido
2025→2026,2026,Passos Maia,Perdido
2025→2026,2026,Pomerode,Perdido
2025→2026,2026,Porto Belo,Perdido
2025→2026,2026,Quilombo,Perdido
2025→2026,2026,Rio Negrinho,Perdido
2025→2026,2026,Rio Negro,Perdido
2025→2026,2026,Santa Cecília,Perdido
2025→2026,2026,São Carlos,Perdido
2025→2026,2026,São Lourenço do Oeste,Perdido
2025→2026,2026,Saudades,Perdido
2025→2026,2026,Seara,Perdido
2025→2026,2026,Timbó,Perdido
2025→2026,2026,Tunápolis,Perdido
2025→2026,2026,Urubici,Perdido
2025→2026,2026,Urussanga,Perdido
2025→2026,2026,Nova Erechim,Novo
