Ano,Radio,Cidade,Status
2023,101 - FM (101.3),Xanxerê,Ativa (ano base)
2023,101 - FM (101.9),Lages,Ativa (ano base)
2023,103 - FM (103.7),São Miguel do Oeste,Ativa (ano base)
2023,105 (Guaramirim) - FM (105.7),Jaraguá do Sul,Ativa (ano base)
2023,106 - FM (106.3),Blumenau,Ativa (ano base)
2023,106 - FM (106.7),Três Barras,Ativa (ano base)
2023,107.5 - FM (107.5),Joinville,Ativa (ano base)
2023,89 - FM (88.9),São Bento do Sul,Ativa (ano base)
2023,89 - FM (89.7),Gaspar,Ativa (ano base)
2023,92 (Araranguá) - FM (92.5),Criciúma,Ativa (ano base)
2023,92 - FM (92.9),Caçador,Ativa (ano base)
2023,93 (Balneário Gaivota) - FM (93.3),Sombrio,Ativa (ano base)
2023,93 - FM (93.3),Rio do Sul,Ativa (ano base)
2023,Alternativa - Comunitária (104.9),Pinhalzinho,Ativa (ano base)
2023,Alternativa - Comunitária (87.9),Maravilha,Ativa (ano base)
2023,Alternativa - FM (102.7),Faxinal dos Guedes,Ativa (ano base)
2023,Alternativa - FM (87.9),Jaraguá do Sul,Ativa (ano base)
2023,Alvorada - FM (94.5),Santa Cecília,Ativa (ano base)
2023,Amanda - FM (101.5),Rio do Sul,Ativa (ano base)
2023,Amiga - Comunitária (104.9),Xaxim,Ativa (ano base)
2023,102.9 - FM (102.9),Sombrio,Ativa (ano base)
2023,Antena - FM (100.5),Joaçaba,Ativa (ano base)
2023,Araguaia - FM (104.5),Brusque,Ativa (ano base)
2023,Araranguá - FM (95.5),Araranguá,Ativa (ano base)
2023,Arca da Aliança - FM (100.1),Blumenau,Ativa (ano base)
2023,Arca da Aliança - FM (93.5),Joinville,Ativa (ano base)
2023,Ascucca - Comunitária (104.9),Campos Novos,Ativa (ano base)
2023,Atalaia - AM (850),Campo Erê,Ativa (ano base)
2023,Atitude - FM (87.9),Dona Emma,Ativa (ano base)
2023,Band - FM (92.9),Itajaí,Ativa (ano base)
2023,Bandeirantes - AM (1350),Itajaí,Ativa (ano base)
2023,Belos Montes - FM (92.1),Seara,Ativa (ano base)
2023,Belos Vales - FM (89.9),Ibirama,Ativa (ano base)
2023,Caçanjurê - FM (107.3),Caçador,Ativa (ano base)
2023,Caibi - FM (96.7),Caibi,Ativa (ano base)
2023,Camboriú - FM (90.1),Balneário Camboriú,Ativa (ano base)
2023,Capinzal - FM (102.3),Capinzal,Ativa (ano base)
2023,Catarinense - FM (97.3),Joaçaba,Ativa (ano base)
2023,CBN - FM (90.3),Florianópolis,Ativa (ano base)
2023,CBN - FM (95.3),Joinville,Ativa (ano base)
2023,CBN - FM (95.9),Blumenau,Ativa (ano base)
2023,Cedro - FM (90.7),São José do Cedro,Ativa (ano base)
2023,Centro Oeste - FM (100.9),Pinhalzinho,Ativa (ano base)
2023,Chapecó - FM (100.1),Chapecó,Ativa (ano base)
2023,Cidade (Urussanga) - FM (93.5),Criciúma,Ativa (ano base)
2023,Cidade - FM (103.7),Tubarão,Ativa (ano base)
2023,Cidade - FM (104.1),Itapema,Ativa (ano base)
2023,Cidade - FM (95.7),São Miguel do Oeste,Ativa (ano base)
2023,Cidade Amiga - FM (98.3),Armazém,Ativa (ano base)
2023,Cidade em Dia (Araranguá) - FM (89.1),Criciúma,Ativa (ano base)
2023,Clube - FM (104.3),São Domingos,Ativa (ano base)
2023,Rede Clube - FM (89.1),Blumenau,Ativa (ano base)
2023,Clube - FM (98.3),Lages,Ativa (ano base)
2023,Clube I - FM (88.5),São João Batista,Ativa (ano base)
2023,Colmeia - AM (1230),Porto União,Ativa (ano base)
2023,Condá - FM (98.9),Chapecó,Ativa (ano base)
2023,Conexão - FM (103.3),Balneário Camboriú,Ativa (ano base)
2023,Continental - FM (96.1),Coronel Freitas,Ativa (ano base)
2023,Coração - FM (93.9),Quilombo,Ativa (ano base)
