AnoMes,Veiculacoes,Tendencia
2023-01,358,
2023-02,525,640.6666666666666
2023-03,1039,749.3333333333334
2023-04,684,817.3333333333334
2023-05,729,670.3333333333334
2023-06,598,586.0
2023-07,431,707.0
2023-08,1092,800.6666666666666
2023-09,879,979.3333333333334
2023-10,967,850.6666666666666
2023-11,706,747.3333333333334
2023-12,569,463.3333333333333
2024-01,115,431.0
2024-02,609,440.6666666666667
2024-03,598,621.6666666666666
2024-04,658,643.6666666666666
2024-05,675,637.6666666666666
2024-06,580,649.3333333333334
2024-07,693,536.0
2024-08,335,428.6666666666667
2024-09,258,365.0
2024-10,502,509.0
2024-11,767,554.3333333333334
2024-12,394,415.6666666666667
2025-01,86,287.0
2025-02,381,313.6666666666667
2025-03,474,545.6666666666666
2025-04,782,584.3333333333334
2025-05,497,588.6666666666666
2025-06,487,544.3333333333334
2025-07,649,562.3333333333334
2025-08,551,635.6666666666666
2025-09,707,644.0
2025-10,674,690.0
2025-11,689,634.6666666666666
2025-12,541,444.0
2026-01,102,404.6666666666667
2026-02,571,405.3333333333333
2026-03,543,
