Radio_norm,Veiculacoes,Impacto_Sede,Impacto_Abrangencia,Cidades_Veiculadas,Radio,Municipios_Abrangencia
camboriu - fm (90.1),5,149227,3699482.0,1,Camboriú - FM (90.1),43
menina - fm (100.5),1,149227,3179323.0,1,Menina - FM (100.5),36
studio - fm (99.1),1,184579,2817441.0,1,Studio - FM (99.1),38
menina - fm (97.5),16,366418,2294747.0,1,Menina - FM (97.5),46
vale - fm (102.9),102,39889,2017163.0,1,Vale - FM (102.9),23
nova - fm (103.9),13,72346,1908940.0,1,Nova - FM (103.9),43
jovem pan - fm (101.7),28,516524,1758242.0,1,Jovem Pan - FM (101.7),29
89 - fm (89.3),1,45711,1474121.0,1,89 - FM (89.3),13
105 (guaramirim) - fm (105.7),23,184579,1402933.0,1,105 (Guaramirim) - FM (105.7),11
89 - fm (89.7),52,71925,1380221.0,1,89 - FM (89.7),18
jovem pan (massaranduba) - fm (101.9),13,184579,1363264.0,1,Jovem Pan (Massaranduba) - FM (101.9),12
cbn - fm (90.3),6,516524,1362693.0,1,CBN - FM (90.3),19
guaruja - am (1420),70,516524,1349244.0,1,Guarujá - AM (1420),28
mais alegria - fm (95.1),1041,516524,1345633.0,1,Mais Alegria - FM (95.1),17
cbn - fm (95.3),4,604708,1244152.0,1,CBN - FM (95.3),18
massa - fm (107.7),198,140597,1199081.0,1,Massa - FM (107.7),23
divino oleiro - fm (105.5),14,516524,1170715.0,1,Divino Oleiro - FM (105.5),10
massa (sao jose) - fm (97.7),16,516524,1079429.0,1,Massa (São José) - FM (97.7),9
conda - fm (98.9),34,227587,1078883.0,1,Condá - FM (98.9),63
garopaba - fm (94.7),5,24070,1036095.0,1,Garopaba - FM (94.7),7
massa (icara) - fm (94.5),47,219393,1035691.0,1,Massa (Içara) - FM (94.5),45
massa - fm (98.9),1,107143,1035049.0,1,Massa - FM (98.9),46
rede clube litoral norte - fm (102.1),138,226617,1009781.0,1,Rede Clube Litoral Norte - FM (102.1),14
band - fm (92.9),4,226617,990781.0,1,Band - FM (92.9),14
massa - fm (103.5),84,366418,948454.0,1,Massa - FM (103.5),11
sentinela do vale - fm (97.9),149,71925,926456.0,1,Sentinela do Vale - FM (97.9),7
diplomata - fm (105.3),16,140597,915066.0,1,Diplomata - FM (105.3),15
h2o fm - fm (106.9),51,20547,853776.0,1,H2O FM - FM (106.9),23
cidade - fm (104.1),8,69323,768335.0,1,Cidade - FM (104.1),11
imigrantes - fm (94.1),33,13080,742398.0,1,Imigrantes - FM (94.1),27
